Company,Profession,Record Count,Total_comp,Base_salary,Stocks,Bonus (sign-on)
Uber,SWE Manager,27,307000,180000,100000,35000
Microsoft,SWE Manager,171,326000,190000,100000,30000
Facebook,SWE Manager,86,337000,185000,85000,30000
ByteDance,SWE Manager,1,132000,100000,22000,10000
Shopify,SWE Manager,3,153000,135000,20000,18000
VMware,SWE Manager,12,335000,160000,90000,40000
Amazon,SWE Manager,356,330000,187000,100000,30000
Wayfair,SWE Manager,20,301000,190000,52000,38000
Atlassian,SWE Manager,5,245000,165000,40000,0
Cisco,SWE Manager,17,290000,173000,50000,30000
Databricks,SWE Manager,1,139000,72000,46000,21000
Google,SWE Manager,89,341000,185000,111000,32000
Intel,SWE Manager,13,300000,180000,90000,32000
Intuit,SWE Manager,7,150000,125000,20000,5000
Oracle,SWE Manager,47,350000,190000,90000,20000
WeWork,SWE Manager,3,181000,140000,17000,20000
Yandex,SWE Manager,5,240000,130000,50000,30000
Goldman Sachs,SWE Manager,12,325000,156000,102000,0
Twitter,SWE Manager,9,246000,150000,50000,19000
Cognizant,SWE Manager,7,310000,160000,150000,6000
Huawei,SWE Manager,2,275000,145000,130000,12000
Workday,SWE Manager,6,357000,160000,120000,2000
PayPal,SWE Manager,20,300000,182000,49000,30000
Capital One,SWE Manager,35,290000,181000,72000,25000
Salesforce,SWE Manager,41,350000,200000,98000,45000
Dell,SWE Manager,10,430000,230000,88000,46000
Autodesk,SWE Manager,11,430000,185000,200000,20000
Morgan Stanley,SWE Manager,5,271000,160000,60000,0
Booking.com,SWE Manager,3,257000,197000,10000,0
Tableau Software,SWE Manager,8,302000,160000,118000,22000
Expedia,SWE Manager,13,325000,185000,60000,20000
Airbnb,SWE Manager,6,280000,195000,80000,18000
Indeed,SWE Manager,11,336000,160000,75000,45000
Blizzard Entertainment,SWE Manager,2,169000,156000,0,13000
Netflix,SWE Manager,16,335000,185000,122000,26000
IBM,SWE Manager,19,320000,165000,100000,19000
LinkedIn,SWE Manager,27,300000,180000,60000,30000
JP Morgan Chase,SWE Manager,8,277000,157000,90000,27000
Qualcomm,SWE Manager,17,300000,175000,100000,22000
SurveyMonkey,SWE Manager,4,259000,160000,100000,19000
Yelp,SWE Manager,2,380000,160000,80000,140000
SAP,SWE Manager,7,350000,180000,60000,40000
NVIDIA,SWE Manager,9,250000,175000,40000,34000
Spotify,SWE Manager,4,550000,160000,400000,20000
Deloitte,SWE Manager,4,260000,155000,110000,30000
Twilio,SWE Manager,4,278000,160000,86000,30000
Bloomberg,SWE Manager,18,300000,173000,80000,34000
Verizon,SWE Manager,2,360000,196000,124000,60000
Snap,SWE Manager,9,514000,186000,200000,40000
Zendesk,SWE Manager,2,393000,225000,170000,63000
Electronic Arts,SWE Manager,2,220000,170000,46000,15000
Palantir,SWE Manager,2,515000,265000,200000,50000
Citi,SWE Manager,4,424000,220000,160000,50000
Capgemini,SWE Manager,1,275000,190000,55000,30000
eBay,SWE Manager,9,342000,203000,90000,49000
Accenture,SWE Manager,15,310000,200000,48000,27000
Adobe,SWE Manager,10,355000,200000,150000,10000
Dropbox,SWE Manager,4,494000,220000,230000,44000
Grab,SWE Manager,2,273000,223000,91000,50000
BlackRock,SWE Manager,2,650000,650000,40000,0
Zillow,SWE Manager,10,289000,185000,80000,15000
KPMG,SWE Manager,2,200000,170000,0,30000
Samsung,SWE Manager,5,345000,160000,0,45000
Box,SWE Manager,6,357000,195000,190000,48000
Nike,SWE Manager,2,600000,200000,250000,190000
Walmart Labs,SWE Manager,13,260000,175000,75000,16000
Zoox,SWE Manager,1,300000,150000,150000,0
UBS,SWE Manager,3,320000,210000,60000,50000
Qualtrics,SWE Manager,3,250000,170000,40000,10000
NetApp,SWE Manager,2,445000,245000,125000,75000
Roku,SWE Manager,2,345000,200000,110000,75000
Groupon,SWE Manager,4,325000,183000,107000,30000
Splunk,SWE Manager,5,313000,160000,100000,20000
Pinterest,SWE Manager,2,770000,225000,612000,0
PwC,SWE Manager,5,296000,180000,85000,22000
Bank of America,SWE Manager,3,300000,178000,100000,25000
Booz Allen Hamilton,SWE Manager,1,550000,160000,390000,0
ServiceNow,SWE Manager,1,280000,160000,120000,0
Stripe,SWE Manager,3,524000,200000,200000,20000
Tata Consultancy Services,SWE Manager,1,220000,170000,25000,25000
TripAdvisor,SWE Manager,2,363000,213000,165000,48000
Magic Leap,SWE Manager,3,280000,200000,30000,50000
Square,SWE Manager,8,368000,202000,140000,34000
Unity Technologies,SWE Manager,2,410000,210000,180000,80000
T-Mobile,SWE Manager,1,162000,162000,0,0
Red Hat,SWE Manager,1,210000,153000,57000,0
MathWorks,SWE Manager,1,211000,160000,35000,16000
Robinhood,SWE Manager,1,200000,160000,20000,20000
HubSpot,SWE Manager,1,210000,175000,0,35000
bytedance,SWE Manager,1,270000,185000,45000,40000
Sony,SWE Manager,1,275000,175000,55000,45000
The Walt Disney Company,SWE Manager,3,282000,220000,4000,50000
Tinder,SWE Manager,1,349000,220000,85000,44000
EY,SWE Manager,2,350000,225000,75000,75000
Roblox,SWE Manager,1,332000,215000,72000,45000
DocuSign,SWE Manager,1,286000,174000,77000,35000
McKinsey & Company,SWE Manager,2,487000,242000,197000,80000
Western Digital,SWE Manager,2,391000,215000,180000,35000
Mastercard,SWE Manager,1,350000,250000,50000,50000
Infosys,SWE Manager,1,600000,300000,240000,60000
Slack,SWE Manager,1,750000,185000,270000,295000
Quora,SWE Manager,1,650000,275000,320000,55000
HP,SWE Manager,1,450000,230000,150000,70000
Visa,SWE Manager,1,457000,190000,240000,27000
Boston Consulting Group (BCG),SWE Manager,1,630000,230000,400000,0
Raytheon,SWE Manager,1,505000,215000,250000,40000
Tesla,SWE Manager,3,245000,175000,70000,0
Lyft,SWE Manager,8,356000,190000,100000,30000
Yahoo,SWE Manager,10,425000,205000,150000,35000
Apple,SWE Manager,50,300000,183000,96000,30000
